,title,commentCount,dislikeCount,likeCount,music_style,performer,viewCount,commentators_uniq,date
13949,Общество «Память»,0.0,12.0,89.0,rock,гражданская_оборона,5316.0,,2018-06-13
13950,Общество «Память»,0.0,0.0,12.0,rock,летов,1276.0,,2017-11-10
13951,Объятья,0.0,4.0,50.0,rock,несчастный_случай,1870.0,,2018-05-24
13952,Овощи,0.0,1.0,6.0,indi,cбпч,221.0,,2015-10-19
13953,Оглянись назад,0.0,1.0,6.0,estrada,ротару,2820.0,,2016-01-22
13954,Оглянись назад,0.0,7.0,44.0,estrada,ротару,5485.0,,2016-01-13
13955,Огонь,0.0,6.0,13.0,popsa,ёлка,674.0,,2018-11-12
13956,Огоньки,0.0,3.0,46.0,rock,агата_кристи,3250.0,,2018-05-15
13957,Одеколон (Live),1.0,0.0,7.0,rock,летов,672.0,,2018-08-17
13958,"Одесса, 23 октября 2009",4.0,0.0,38.0,estrada,киркоров,2670.0,4.0,2009-11-06
13959,Один год из жизни. Любовь и сцена (часть 11),6.0,0.0,60.0,estrada,киркоров,6936.0,4.0,2010-02-18
13960,Один год из жизни. Любовь и сцена (часть 4),5.0,0.0,50.0,estrada,киркоров,2997.0,,2010-02-18
13961,Один день Ивана Денисовича,0.0,0.0,8.0,rock,гражданская_оборона,559.0,,2018-06-13
13962,Один день Ивана Денисовича (Солженицын писал о...,0.0,0.0,6.0,rock,гражданская_оборона,505.0,,2018-06-13
13963,"Один день с Ю  ""Лесной шухер , мокренькая кисонька,предложение руки и сердца""",68.0,12.0,677.0,popsa,караулова,19938.0,59.0,2017-06-28
13964,"Один день с Ю ""Лагерь Артек, Баку, Жара17""",61.0,68.0,1183.0,popsa,караулова,74439.0,39.0,2017-09-08
13965,"Один день с Ю (Галопом по Европам и как снимали клип ""Лети за мной"")",33.0,8.0,349.0,popsa,караулова,7093.0,29.0,2018-06-30
13966,"Один день с Ю -За кулисами шоу ""Русский ниндзя"" и сьемки клипа ""Просто так""",60.0,10.0,505.0,popsa,караулова,10057.0,54.0,2018-01-25
13967,"Один день с группой ""Король и Шут""",279.0,63.0,3712.0,rock,король_и_шут,337812.0,165.0,2008-10-03
13968,Один на свете,0.0,24.0,96.0,estrada,ротару,8981.0,,2016-01-22
13969,Один на свете,0.0,2.0,8.0,estrada,ротару,2744.0,,2016-01-13
13970,Одинокая звезда,5.0,237.0,1259.0,rap,pharaon,83665.0,2.0,2017-07-09
13971,Одинокий баклан,0.0,0.0,0.0,rock,несчастный_случай,161.0,,2018-05-24
13972,Одиночество,0.0,3.0,60.0,popsa,iowa,4355.0,2.0,2018-03-01
13973,Одна калина,0.0,69.0,272.0,estrada,ротару,16572.0,,2016-01-13
13974,Одна на миллион,0.0,2.0,8.0,estrada,басков,2182.0,,2015-10-31
13975,Одна наша суббота,34.0,26.0,641.0,popsa,2маши,54854.0,18.0,2016-03-07
13976,Одна ночь,1.0,55.0,139.0,popsa,бузова,18078.0,,2018-08-09
13977,Однажды,1.0,1.0,8.0,rock,ленинград,673.0,1.0,2015-02-06
13978,Однажды,0.0,0.0,2.0,rock,гражданская_оборона,211.0,1.0,2018-06-13
13979,Однажды,0.0,0.0,2.0,rock,гражданская_оборона,350.0,1.0,2018-06-13
13980,Однажды 2017.06.17. Сергей Лазарев,219.0,49.0,2530.0,popsa,лазарев,79142.0,140.0,2017-06-18
13981,Одним целым,4.0,922.0,2417.0,rap,pharaon,137625.0,1.0,2017-07-09
13982,Одноразовая жизнь (Мир номер ноль),0.0,11.0,16.0,rock,ддт,1734.0,,2016-09-09
13983,"Озвучиваю Ривердейл с Ивлеевой, Любарской / Кого ждёт Ханна??",2072.0,520.0,19647.0,popsa,кока,477752.0,920.0,2018-05-18
13984,"Озвучка фильма ""Щелкунчик""",2.0,3.0,39.0,estrada,киркоров,3811.0,2.0,2010-07-03
